header,price,subtitle
"4-комнатная квартира, 100.5 м², 5/5 этаж",47000000,"Казыбек би р-н, Лободы 5"
"2-комнатная квартира, 45 м², 4/5 этаж",14000000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, 18й микрорайон 19"
"3-комнатная квартира, 90 м², 14/16 этаж",37000000,"Казыбек би р-н, мкр Юго-Восток, Шахтеров 52 — Республика"
"3-комнатная квартира, 80 м², 2/2 этаж",17800000,"Алихана Бокейханова р-н, мкр Пришахтинск, Методическая"
"3-комнатная квартира, 62 м², 1/9 этаж",21500000,"Казыбек би р-н, мкр Юго-Восток, 29й микрорайон 18"
"3-комнатная квартира, 57 м², 1/5 этаж",16000000,"Алихана Бокейханова р-н, мкр Майкудук, 13й микрорайон 34"
"2-комнатная квартира, 46 м², 3/5 этаж",17000000,"Казыбек би р-н, Мустафина 7 — Солнечная/Мустафина"
"2-комнатная квартира, 60.5 м², 1/2 этаж",21000000,"Казыбек би р-н, мкр Новый Город, Абая 25 — Назарбаева"
"2-комнатная квартира, 52 м², 1/5 этаж",13700000,"Алихана Бокейханова р-н, 22-й мкр"
"1-комнатная квартира, 31 м², 4/5 этаж",7500000,"Алихана Бокейханова р-н, мкр Майкудук, 12й микрорайон"
"2-комнатная квартира, 54 м², 18/22 этаж",27000000,"Казыбек би р-н, 141-й учётный квартал 534"
"2-комнатная квартира, 69.78 м², 3/5 этаж",19189500,"Казыбек би р-н, Таттимбета 33/3 — Муканова"
"2-комнатная квартира, 63 м², 2/2 этаж",15000000,"Алихана Бокейханова р-н, мкр Майкудук, Лихачёва 18"
"2-комнатная квартира, 45 м², 2/5 этаж",11000000,"Алихана Бокейханова р-н, мкр Майкудук"
"3-комнатная квартира, 85 м², 2/9 этаж",33000000,"Казыбек би р-н, мкр Юго-Восток, Степной 1 микрорайон 84"
"3-комнатная квартира, 62 м², 1/9 этаж",17000000,"Алихана Бокейханова р-н, мкр Майкудук, Белинский 3А"
"2-комнатная квартира, 41 м², 3/4 этаж",5500000,"Алихана Бокейханова р-н, Ишимская 66"
"3-комнатная квартира, 57.6 м², 3/5 этаж",22000000,"Казыбек би р-н, мкр Михайловка , Крылова 52"
"1-комнатная квартира, 30.8 м², 4/5 этаж",9000000,"Алихана Бокейханова р-н, мкр Майкудук, Магнитогорская 2"
"3-комнатная квартира, 83.7 м², 24/25 этаж",27300000,"Казыбек би р-н, мкр Юго-Восток, Байкена Ашимова 24"
"4-комнатная квартира, 88 м², 7/10 этаж",45500000,"Казыбек би р-н, мкр Юго-Восток 6"
"1-комнатная квартира, 35 м², 3/3 этаж",14000000,"Казыбек би р-н, мкр Михайловка  164/1 — Баженова"
"2-комнатная квартира, 55 м², 3/5 этаж",18200000,"Казыбек би р-н, мкр Юго-Восток, Муканова 43/4"
"1-комнатная квартира, 40.9 м²",от 12679000,"Казыбек би р-н, Муканова 55/2"
"3-комнатная квартира, 93.5 м²",от 32725000,"Казыбек би р-н, Университетская 17/3"
"1-комнатная квартира, 45 м², 3/5 этаж",12867750,"Казыбек би р-н, Таттимбета 33/3 — Муканова"
"3-комнатная квартира, 77 м², 1/3 этаж",12000000,"Алихана Бокейханова р-н, Медицинская"
"2-комнатная квартира, 54 м², 10/10 этаж",21500000,"Казыбек би р-н, мкр Юго-Восток, мкр Степной 4"
"1-комнатная квартира, 32 м², 2/2 этаж",9000000,"Казыбек би р-н, Западная 93"
"3-комнатная квартира, 48 м², 2/5 этаж",13000000,"Алихана Бокейханова р-н, мкр Майкудук, 15й микрорайон 20"
"3-комнатная квартира, 75 м², 2/3 этаж",38000000,"Казыбек би р-н, мкр Городской Аэропорт, Мкр Алтын Арка 21"
"1-комнатная квартира, 32 м², 5/5 этаж",13000000,"Казыбек би р-н, мкр Новый Город"
"4-комнатная квартира, 76.3 м², 5/5 этаж",24500000,"Казыбек би р-н, мкр Юго-Восток, Камали Дюсембекова 47"
"3-комнатная квартира, 86 м², 5/10 этаж",32000000,"Казыбек би р-н, мкр Новый Город, Ермекова"
"4-комнатная квартира, 108 м², 17/19 этаж",65000000,"Казыбек би р-н, мкр Юго-Восток, Шахтеров 52б"
"2-комнатная квартира, 70 м², 5/9 этаж",43700000,"Казыбек би р-н, мкр Юго-Восток 31/4"
"2-комнатная квартира, 60 м², 2/11 этаж",26000000,"Казыбек би р-н, мкр Юго-Восток, Сарыарка 19"
"2-комнатная квартира, 53 м², 9/10 этаж",21000000,"Казыбек би р-н, мкр Юго-Восток 14"
"4-комнатная квартира, 126.4 м²",от 33496000,"Казыбек би р-н, Университетская 17/3"
"1-комнатная квартира, 41.3 м²",от 12803000,"Казыбек би р-н, Муканова 55/2"
"4-комнатная квартира, 72.5 м², 1/9 этаж",23599000,"Казыбек би р-н, мкр Юго-Восток, 30й микрорайон 7"
"2-комнатная квартира, 68.2 м²",от 23870000,"Казыбек би р-н, Университетская 17/3"
"1-комнатная квартира, 42.3 м²",от 13113000,"Казыбек би р-н, Муканова 55/2"
"1-комнатная квартира, 48.3 м²",от 14973000,Проспект Республики 1/7
"2-комнатная квартира, 60.6 м², 9/11 этаж",20000000,"Казыбек би р-н, мкр Юго-Восток, Сарыарка 19"
"1-комнатная квартира, 45.2 м²",от 14012000,"Казыбек би р-н, Муканова 55/2"
"1-комнатная квартира, 33.2 м², 3/9 этаж",13000000,"Казыбек би р-н, мкр Юго-Восток, Бухар-жырау 96"
"2-комнатная квартира, 43.3 м², 5/5 этаж",16000000,"Казыбек би р-н, Карбышева 10"
"2-комнатная квартира, 41.1 м², 3/3 этаж",18500000,"Казыбек би р-н, Гастелло"
"3-комнатная квартира, 80 м², 10/19 этаж",41000000,"Казыбек би р-н, проспект Шахтёров 52 Б"
"3-комнатная квартира, 62.5 м², 2/5 этаж",18000000,"Алихана Бокейханова р-н, мкр Майкудук, 11а микрорайон 10"
"2-комнатная квартира, 69.3 м², 5/16 этаж",26000000,"Казыбек би р-н, Бауыржана Момышулы 28"
"4-комнатная квартира, 84 м², 7/10 этаж",28000000,"Алихана Бокейханова р-н, мкр Майкудук, Голубые пруды мкр"
"3-комнатная квартира, 56 м², 4/10 этаж",24000000,"Казыбек би р-н, мкр Юго-Восток, проспект Строителей 13"
"3-комнатная квартира, 62 м², 3/5 этаж",14000000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, 13й микрорайон 26"
"3-комнатная квартира, 74 м², 7/10 этаж",28000000,"Казыбек би р-н, мкр Юго-Восток, 28й микрорайон 11/1 — Строителей"
"2-комнатная квартира, 57.5 м²",от 16387500,"Казыбек би р-н, Муканова 55/2"
"3-комнатная квартира, 81.1 м², 1/9 этаж",30000000,"Казыбек би р-н, мкр Юго-Восток, Муканова"
"3-комнатная квартира, 62.7 м², 2/9 этаж",31000000,"Казыбек би р-н, мкр Юго-Восток, Степной 3 3/8"
"2-комнатная квартира, 52 м², 8/9 этаж",23800000,"Казыбек би р-н, мкр Юго-Восток, Язева"
"2-комнатная квартира, 49 м², 4/5 этаж",16000000,"Казыбек би р-н, мкр Юго-Восток, Гапеева 15"
"2-комнатная квартира, 45 м², 3/5 этаж",17500000,"Казыбек би р-н, проспект Нуркена Абдирова 45"
"4-комнатная квартира, 100 м², 2/5 этаж",52000000,"Казыбек би р-н, Лободы 7"
"4-комнатная квартира, 77 м², 8/9 этаж",30000000,"Казыбек би р-н, мкр Юго-Восток, 27й микрорайон — Университетская"
"6-комнатная квартира, 280 м²",50000000,"Казыбек би р-н, мкр Кунгей   59"
"2-комнатная квартира, 50 м², 8/9 этаж",12000000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, 11а микрорайон 26 — Хозяин"
"1-комнатная квартира, 37 м², 3/9 этаж",11500000,"Казыбек би р-н, Бухар жирау 96"
"2-комнатная квартира, 58.3 м²",от 16615500,"Казыбек би р-н, Муканова 55/2"
"3-комнатная квартира, 85.5 м², 3/5 этаж",50000000,"Казыбек би р-н, мкр Юго-Восток, Степной 2 14/1"
"4-комнатная квартира, 61.2 м², 5/5 этаж",27000000,Муканова
"2-комнатная квартира, 61 м², 3/10 этаж",24700000,"Казыбек би р-н, мкр Юго-Восток, Ул.Сарыарка 31"
"3-комнатная квартира, 59 м², 3/5 этаж",31000999,"Казыбек би р-н, мкр Новый Город, Ержанова 23"
"4-комнатная квартира, 80 м², 7/9 этаж",34000000,"Казыбек би р-н, мкр Юго-Восток, Степной 2 1"
"2-комнатная квартира, 57.9 м², 3/5 этаж",16000000,"Алихана Бокейханова р-н, мкр Майкудук, Бирюзова 41"
"2-комнатная квартира, 66.4 м², 5/5 этаж",28000000,"Казыбек би р-н, мкр Новый Город, Мичурина 21/3 — Парковая зона"
"4-комнатная квартира, 135 м²",36000000,"Казыбек би р-н, мкр Кунгей"
"1-комнатная квартира, 36.2 м², 3/9 этаж",15000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, 28й микрорайон 15/1"
"4-комнатная квартира, 71 м², 1/5 этаж",30000000,"Казыбек би р-н, мкр Юго-Восток, Строителей 29"
"2-комнатная квартира, 61.7 м²",от 17584500,"Казыбек би р-н, Муканова 55/2"
"3-комнатная квартира, 90 м², 13/16 этаж",37000000,"Казыбек би р-н, мкр Юго-Восток 52"
"1-комнатная квартира, 36 м², 3/9 этаж",15800000,"Казыбек би р-н, мкр Юго-Восток, Республики 32"
"2-комнатная квартира, 45 м², 5/5 этаж",10500000,"Алихана Бокейханова р-н, мкр Пришахтинск, 22й микрорайон 26"
"2-комнатная квартира, 69.1 м²",от 19693500,"Казыбек би р-н, Муканова 55/2"
"4-комнатная квартира, 61.5 м², 3/5 этаж",25000000,"Казыбек би р-н, Пр.Республики 24"
"3-комнатная квартира, 68 м², 1/9 этаж",32000000,"Казыбек би р-н, мкр Юго-Восток, Университетская 21"
"3-комнатная квартира, 70 м², 6/9 этаж",27000000,"Казыбек би р-н, мкр Юго-Восток, 27й микрорайон 10"
"3-комнатная квартира, 65 м², 1/9 этаж",22500000,"Казыбек би р-н, мкр Юго-Восток, Гапеева 33"
"3-комнатная квартира, 59 м², 4/5 этаж",14500000,"Алихана Бокейханова р-н, мкр Майкудук, 12й микрорайон 23"
"3-комнатная квартира, 62 м², 3/5 этаж",25000000,"Казыбек би р-н, мкр Городской Аэропорт, Сатыбалдина"
"1-комнатная квартира, 32.4 м², 2/5 этаж",10500000,"Алихана Бокейханова р-н, 12-й мкр 2"
"2-комнатная квартира, 53.2 м², 8/9 этаж",24400000,"Казыбек би р-н, мкр Юго-Восток, Пр. Шахтеров"
"2-комнатная квартира, 69.1 м²",от 19693500,"Казыбек би р-н, Муканова 55/2"
"2-комнатная квартира, 41.6 м², 3/4 этаж",13500000,"Казыбек би р-н, мкр Новый Город, Пичугина 251/2"
"2-комнатная квартира, 65 м², 6/9 этаж",32000000,"Казыбек би р-н, мкр Юго-Восток, 28й микрорайон 31 а — Шахтеров"
"1-комнатная квартира, 37 м², 2/3 этаж",14800000,"Казыбек би р-н, мкр Юго-Восток 21"
"4-комнатная квартира, 121 м², 10/16 этаж",96000000,"Казыбек би р-н, мкр Новый Город, Ержанова 34/1"
"3-комнатная квартира, 100 м², 8/9 этаж",60000000,"Казыбек би р-н, мкр Юго-Восток, Таттимбета 3/14"
"2-комнатная квартира, 70.6 м²",от 20121000,"Казыбек би р-н, Муканова 55/2"
"3-комнатная квартира, 129 м², 5/5 этаж",37500000,"Казыбек би р-н, Ботаническая 12/12"
"2-комнатная квартира, 51 м², 5/9 этаж",17300000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Восток-3"
"3-комнатная квартира, 78 м², 11/12 этаж",37000000,"Казыбек би р-н, мкр Юго-Восток, Мкр. Степной-2 2/4 — Республики"
"2-комнатная квартира, 72.5 м²",от 20662500,"Казыбек би р-н, Муканова 55/2"
"1-комнатная квартира, 30.9 м², 3/5 этаж",8500000,"Алихана Бокейханова р-н, мкр Майкудук, Магнитогорская 41"
"3-комнатная квартира, 79.5 м²",от 22657500,"Казыбек би р-н, Муканова 55/2"
"2-комнатная квартира, 45.2 м², 3/5 этаж",20500000,"Казыбек би р-н, Алиханова 36/2"
"2-комнатная квартира, 62 м², 11/16 этаж",23000000,"Казыбек би р-н, мкр Юго-Восток, Момышулы 28 — Таттимбета"
"3-комнатная квартира, 81.7 м²",от 23284500,"Казыбек би р-н, Муканова 55/2"
"2-комнатная квартира, 53.3 м², 8/9 этаж",18500000,"Казыбек би р-н, мкр Юго-Восток, Гапеева 35"
